gene_name	gene_id	genome_id	start	stop	strand	assembly
CsrA	JAEZTD010000123.1_18	JAEZTD010000123.1	13873	14118	1	GB_GCA_023443705.1
DUF6470	JAEZTD010000123.1_16	JAEZTD010000123.1	12913	13407	1	GB_GCA_023443705.1
FlgB	JAEZTD010000374.1_4	JAEZTD010000374.1	972	1361	-1	GB_GCA_023443705.1
FlgC	JAEZTD010000374.1_3	JAEZTD010000374.1	532	969	-1	GB_GCA_023443705.1
FlgD	JAEZTD010000010.1_4	JAEZTD010000010.1	1551	1976	-1	GB_GCA_023443705.1
FlgE	JAEZTD010000010.1_3	JAEZTD010000010.1	660	1514	-1	GB_GCA_023443705.1
FlgF	JAEZTD010000123.1_10	JAEZTD010000123.1	8066	8803	1	GB_GCA_023443705.1
FlgK	JAEZTD010000123.1_14	JAEZTD010000123.1	10472	11899	1	GB_GCA_023443705.1
FlgL	JAEZTD010000123.1_15	JAEZTD010000123.1	11923	12888	1	GB_GCA_023443705.1
FlgM	JAEZTD010000123.1_12	JAEZTD010000123.1	9715	10026	1	GB_GCA_023443705.1
FlgN	JAEZTD010000123.1_13	JAEZTD010000123.1	10031	10456	1	GB_GCA_023443705.1
FlhA	JAEZTD010000123.1_8	JAEZTD010000123.1	5200	7248	1	GB_GCA_023443705.1
FlhA	JAEZTD010000009.1_2	JAEZTD010000009.1	2516	2929	-1	GB_GCA_023443705.1
FlhB	JAEZTD010000123.1_7	JAEZTD010000123.1	4056	5120	1	GB_GCA_023443705.1
FliA	JAEZTD010000123.1_9	JAEZTD010000123.1	7280	8056	1	GB_GCA_023443705.1
FliC	JAEZTD010000197.1_15	JAEZTD010000197.1	14627	15394	-1	GB_GCA_023443705.1
FliC	JAEZTD010000123.1_19	JAEZTD010000123.1	14215	14346	1	GB_GCA_023443705.1
FliD	JAEZTD010000197.1_1	JAEZTD010000197.1	1	444	1	GB_GCA_023443705.1
FliD	JAEZTD010000002.1_1	JAEZTD010000002.1	1	501	-1	GB_GCA_023443705.1
FliE	JAEZTD010000374.1_2	JAEZTD010000374.1	208	510	-1	GB_GCA_023443705.1
FliI	JAEZTD010000010.1_7	JAEZTD010000010.1	3897	5204	-1	GB_GCA_023443705.1
FliJ	JAEZTD010000010.1_6	JAEZTD010000010.1	3437	3883	-1	GB_GCA_023443705.1
FliK	JAEZTD010000010.1_5	JAEZTD010000010.1	2004	3365	-1	GB_GCA_023443705.1
FliM	JAEZTD010000123.1_1	JAEZTD010000123.1	1	273	1	GB_GCA_023443705.1
FliM	JAEZTD010000010.1_1	JAEZTD010000010.1	1	366	-1	GB_GCA_023443705.1
FliN	JAEZTD010000123.1_2	JAEZTD010000123.1	292	1512	1	GB_GCA_023443705.1
FliO	JAEZTD010000123.1_3	JAEZTD010000123.1	1542	2030	1	GB_GCA_023443705.1
FliP	JAEZTD010000123.1_4	JAEZTD010000123.1	2027	2860	1	GB_GCA_023443705.1
FliQ	JAEZTD010000123.1_5	JAEZTD010000123.1	2936	3202	1	GB_GCA_023443705.1
FliR	JAEZTD010000123.1_6	JAEZTD010000123.1	3254	4027	1	GB_GCA_023443705.1
FliS	JAEZTD010000197.1_2	JAEZTD010000197.1	464	853	1	GB_GCA_023443705.1
FliT	JAEZTD010000197.1_3	JAEZTD010000197.1	859	1350	1	GB_GCA_023443705.1
FliW	JAEZTD010000123.1_17	JAEZTD010000123.1	13434	13871	1	GB_GCA_023443705.1
MotA	JAEZTD010000197.1_4	JAEZTD010000197.1	1382	2221	1	GB_GCA_023443705.1
SwrD	JAEZTD010000010.1_2	JAEZTD010000010.1	370	624	-1	GB_GCA_023443705.1
MotB	JAEZTD010000197.1_5	JAEZTD010000197.1	2287	3213	1	GB_GCA_023443705.1
