gene_name	gene_id	genome_id	start	stop	strand	assembly
CsrA	PMTT01000503.1_21	PMTT01000503.1	34042	34308	-1	GB_GCA_003167275.1
FlaG	PMTT01000324.1_4	PMTT01000324.1	1368	1664	1	GB_GCA_003167275.1
FlgA	PMTT01000156.1_1	PMTT01000156.1	2	550	1	GB_GCA_003167275.1
FlgB	PMTT01000761.1_20	PMTT01000761.1	18108	18443	1	GB_GCA_003167275.1
FlgC	PMTT01000761.1_21	PMTT01000761.1	18440	18874	1	GB_GCA_003167275.1
FlgD	PMTT01000842.1_6	PMTT01000842.1	4865	5158	1	GB_GCA_003167275.1
FlgE	PMTT01000842.1_7	PMTT01000842.1	5172	6443	1	GB_GCA_003167275.1
FlgF	PMTT01000842.1_3	PMTT01000842.1	1138	1872	-1	GB_GCA_003167275.1
FlgG	PMTT01000842.1_2	PMTT01000842.1	334	1125	-1	GB_GCA_003167275.1
FlgH	PMTT01000156.1_2	PMTT01000156.1	547	1230	1	GB_GCA_003167275.1
FlgI	PMTT01000156.1_3	PMTT01000156.1	1233	2327	1	GB_GCA_003167275.1
FlgJ	PMTT01000156.1_4	PMTT01000156.1	2327	2620	1	GB_GCA_003167275.1
FlgK	PMTT01000842.1_25	PMTT01000842.1	20383	21924	1	GB_GCA_003167275.1
FlgL	PMTT01000842.1_26	PMTT01000842.1	21921	22829	1	GB_GCA_003167275.1
FlgM	PMTT01000842.1_23	PMTT01000842.1	19708	20019	1	GB_GCA_003167275.1
FlhA	PMTT01000842.1_14	PMTT01000842.1	9846	11987	1	GB_GCA_003167275.1
FlhB	PMTT01000842.1_13	PMTT01000842.1	8777	9841	1	GB_GCA_003167275.1
FlhF	PMTT01000842.1_15	PMTT01000842.1	12079	13245	1	GB_GCA_003167275.1
FliA	PMTT01000842.1_16	PMTT01000842.1	13270	14025	1	GB_GCA_003167275.1
FliA	PMTT01000698.1_1	PMTT01000698.1	3	617	-1	GB_GCA_003167275.1
FliC	PMTT01000503.1_20	PMTT01000503.1	27448	34002	-1	GB_GCA_003167275.1
FliD	PMTT01000503.1_19	PMTT01000503.1	25393	27348	-1	GB_GCA_003167275.1
FliE	PMTT01000761.1_22	PMTT01000761.1	18883	19179	1	GB_GCA_003167275.1
FliG	PMTT01000761.1_24	PMTT01000761.1	21790	22824	1	GB_GCA_003167275.1
FliI	PMTT01000761.1_26	PMTT01000761.1	23464	24831	1	GB_GCA_003167275.1
FliJ	PMTT01000761.1_27	PMTT01000761.1	24828	25283	1	GB_GCA_003167275.1
FliM	PMTT01000339.1_3	PMTT01000339.1	2805	3791	-1	GB_GCA_003167275.1
FliN	PMTT01000842.1_17	PMTT01000842.1	14022	14918	1	GB_GCA_003167275.1
FliN	PMTT01000842.1_8	PMTT01000842.1	6451	6696	1	GB_GCA_003167275.1
FliO	PMTT01000842.1_9	PMTT01000842.1	6709	6996	1	GB_GCA_003167275.1
FliP	PMTT01000842.1_10	PMTT01000842.1	6993	7730	1	GB_GCA_003167275.1
FliQ	PMTT01000842.1_11	PMTT01000842.1	7727	7996	1	GB_GCA_003167275.1
FliR	PMTT01000842.1_12	PMTT01000842.1	7986	8759	1	GB_GCA_003167275.1
FliS	PMTT01000324.1_5	PMTT01000324.1	1721	2806	1	GB_GCA_003167275.1
FliW	PMTT01000503.1_22	PMTT01000503.1	34299	34757	-1	GB_GCA_003167275.1
MotA	PMTT01000503.1_16	PMTT01000503.1	22950	23885	1	GB_GCA_003167275.1
MotA	PMTT01000544.1_4	PMTT01000544.1	3181	4098	-1	GB_GCA_003167275.1
MotA	PMTT01000956.1_5	PMTT01000956.1	4065	4940	1	GB_GCA_003167275.1
SwrB	PMTT01000842.1_18	PMTT01000842.1	14915	15361	1	GB_GCA_003167275.1
Transglycosylase	PMTT01000787.1_4	PMTT01000787.1	1081	1755	-1	GB_GCA_003167275.1
Transglycosylase	PMTT01000605.1_5	PMTT01000605.1	2689	3456	-1	GB_GCA_003167275.1
FliF	PMTT01000761.1_23	PMTT01000761.1	19797	21491	1	GB_GCA_003167275.1
MotB	PMTT01000503.1_17	PMTT01000503.1	23892	24770	1	GB_GCA_003167275.1
MotB	PMTT01000956.1_6	PMTT01000956.1	4943	5779	1	GB_GCA_003167275.1
MotB	PMTT01000544.1_3	PMTT01000544.1	2454	3203	-1	GB_GCA_003167275.1
FliH	PMTT01000761.1_25	PMTT01000761.1	22814	23467	1	GB_GCA_003167275.1
