gene_name	gene_id	genome_id	start	stop	strand	assembly
DUF1217	CP017315.1_219	CP017315.1	219764	220561	1	GB_GCA_002005325.1
FlaF	CP017315.1_244	CP017315.1	242709	243074	1	GB_GCA_002005325.1
FlbT	CP017315.1_245	CP017315.1	243071	243538	1	GB_GCA_002005325.1
FlgA	CP017315.1_226	CP017315.1	224993	225454	1	GB_GCA_002005325.1
FlgB	CP017315.1_222	CP017315.1	222941	223330	1	GB_GCA_002005325.1
FlgC	CP017315.1_223	CP017315.1	223330	223746	1	GB_GCA_002005325.1
FlgD	CP017315.1_246	CP017315.1	243516	244082	1	GB_GCA_002005325.1
FlgE	CP017315.1_241	CP017315.1	238917	240206	1	GB_GCA_002005325.1
FlgF	CP017315.1_220	CP017315.1	220647	221381	1	GB_GCA_002005325.1
FlgG	CP017315.1_225	CP017315.1	224181	224987	1	GB_GCA_002005325.1
FlgH	CP017315.1_229	CP017315.1	227338	228078	1	GB_GCA_002005325.1
FlgI	CP017315.1_227	CP017315.1	225451	226680	1	GB_GCA_002005325.1
FlgJ	CP017315.1_199	CP017315.1	202386	202949	-1	GB_GCA_002005325.1
FlgK	CP017315.1_242	CP017315.1	240230	241588	1	GB_GCA_002005325.1
FlhA	CP017315.1_202	CP017315.1	204199	206289	-1	GB_GCA_002005325.1
FlhB	CP017315.1_213	CP017315.1	214626	215699	-1	GB_GCA_002005325.1
FliC	CP017315.1_233	CP017315.1	229574	230671	1	GB_GCA_002005325.1
FliE	CP017315.1_224	CP017315.1	223750	224106	1	GB_GCA_002005325.1
FliG	CP017315.1_214	CP017315.1	215717	216787	-1	GB_GCA_002005325.1
FliJ	CP017315.1_467	CP017315.1	502355	502747	-1	GB_GCA_002005325.1
FliK	CP017315.1_238	CP017315.1	236005	237327	1	GB_GCA_002005325.1
FliL	CP017315.1_230	CP017315.1	228108	228611	1	GB_GCA_002005325.1
FliM	CP017315.1_217	CP017315.1	217692	218645	-1	GB_GCA_002005325.1
FliN	CP017315.1_215	CP017315.1	216832	217203	-1	GB_GCA_002005325.1
FliO	CP017315.1_773	CP017315.1	825979	827136	-1	GB_GCA_002005325.1
FliP	CP017315.1_231	CP017315.1	228608	229366	1	GB_GCA_002005325.1
FliQ	CP017315.1_247	CP017315.1	244079	244345	1	GB_GCA_002005325.1
FliR	CP017315.1_201	CP017315.1	203415	204188	-1	GB_GCA_002005325.1
MotA	CP017315.1_218	CP017315.1	218649	219521	-1	GB_GCA_002005325.1
MotC	CP017315.1_237	CP017315.1	234782	236008	1	GB_GCA_002005325.1
FliF	CP017315.1_234	CP017315.1	231003	232676	1	GB_GCA_002005325.1
MotB	CP017315.1_236	CP017315.1	233493	234785	1	GB_GCA_002005325.1
