gene_name	gene_id	genome_id	start	stop	strand	assembly
DUF1217	NZ_PYFW01000001.1_1613	NZ_PYFW01000001.1	1723647	1724432	-1	RS_GCF_003020125.1
FlaF	NZ_PYFW01000007.1_5	NZ_PYFW01000007.1	9088	9456	1	RS_GCF_003020125.1
FlaF	NZ_PYFW01000001.1_1641	NZ_PYFW01000001.1	1749008	1749352	1	RS_GCF_003020125.1
FlaG	NZ_PYFW01000007.1_6	NZ_PYFW01000007.1	9573	9932	-1	RS_GCF_003020125.1
FlbT	NZ_PYFW01000006.1_2	NZ_PYFW01000006.1	1453	1893	1	RS_GCF_003020125.1
FlbT	NZ_PYFW01000001.1_1642	NZ_PYFW01000001.1	1749352	1749762	1	RS_GCF_003020125.1
FlgA	NZ_PYFW01000007.1_18	NZ_PYFW01000007.1	18382	19515	-1	RS_GCF_003020125.1
FlgA	NZ_PYFW01000001.1_1624	NZ_PYFW01000001.1	1731354	1731830	1	RS_GCF_003020125.1
FlgB	NZ_PYFW01000007.1_28	NZ_PYFW01000007.1	30544	30948	1	RS_GCF_003020125.1
FlgB	NZ_PYFW01000001.1_1620	NZ_PYFW01000001.1	1729372	1729773	1	RS_GCF_003020125.1
FlgC	NZ_PYFW01000007.1_29	NZ_PYFW01000007.1	30967	31392	1	RS_GCF_003020125.1
FlgC	NZ_PYFW01000001.1_1621	NZ_PYFW01000001.1	1729785	1730201	1	RS_GCF_003020125.1
FlgD	NZ_PYFW01000001.1_1392	NZ_PYFW01000001.1	1482107	1482814	-1	RS_GCF_003020125.1
FlgD	NZ_PYFW01000001.1_1643	NZ_PYFW01000001.1	1749777	1750187	1	RS_GCF_003020125.1
FlgE	NZ_PYFW01000001.1_1638	NZ_PYFW01000001.1	1745158	1746390	1	RS_GCF_003020125.1
FlgE	NZ_PYFW01000006.1_9	NZ_PYFW01000006.1	11044	13296	-1	RS_GCF_003020125.1
FlgF	NZ_PYFW01000007.1_20	NZ_PYFW01000007.1	20331	21092	-1	RS_GCF_003020125.1
FlgF	NZ_PYFW01000001.1_1612	NZ_PYFW01000001.1	1722915	1723643	-1	RS_GCF_003020125.1
FlgG	NZ_PYFW01000001.1_1623	NZ_PYFW01000001.1	1730552	1731340	1	RS_GCF_003020125.1
